model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,glass,0.0784313725490196,0.4404761904761904,0.9751322751322752,0.5454545454545454,0.984375,51,146.0,0.8431372549019608,1.9411764705882353,2.8627450980392157,0.6166019520383396,0.9886987840058774,0.0566789215686274,0.8269097805023193,0.960024012,0.0397129649999999,1.0,0.6666666666666666,2.890625,2.272727272727273,10.0,11.0,2.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,glass,0.22448979591836735,0.6636904761904762,0.946982311443096,0.6818181818181818,0.953125,49,95.0,0.3673469387755102,1.346938775510204,1.9387755102040816,0.5917037868596924,0.976422233043021,0.0507015306122448,0.7149581909179688,0.507749268,0.030380397,1.0,0.7959183673469388,2.484375,2.4545454545454546,47.0,10.0,19.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,glass,0.043478260869565216,0.7714285714285715,0.973661686896981,0.7142857142857143,0.9689119170984456,46,99.0,0.6304347826086957,1.4782608695652173,2.152173913043478,0.6125958426096781,0.9974674034220348,0.0478711421491326,0.5086705684661865,0.336636473,0.03998494,0.9565217391304348,0.6086956521739131,2.2020725388601035,2.380952380952381,5.0,6.0,1.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,glass,0.10638297872340426,0.4563492063492063,0.9592857442122148,0.5238095238095238,0.9637305699481864,47,118.0,0.723404255319149,1.6808510638297873,2.5106382978723403,0.6051478523758683,0.9905507433259516,0.051372505787675,0.4772794246673584,0.41583254,0.031911632,0.9787234042553192,0.6382978723404256,2.414507772020725,2.1904761904761907,14.0,9.0,1.0,8.0,C2,C2,C2
at_least_M-of-N,no_discretization,glass,0.08,0.5327380952380952,0.9628267973856208,0.6190476190476191,0.9792746113989638,50,113.0,0.48,1.7,2.26,0.6053547735058349,0.9881219806763286,0.0573056994818653,0.5655152797698975,0.379894382,0.056449386,0.98,0.64,2.865284974093264,2.7142857142857144,50.0,12.0,19.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,glass,0.02127659574468085,0.7063492063492062,0.954789735224518,0.7272727272727273,0.9583333333333334,47,127.0,0.6595744680851063,2.021276595744681,2.702127659574468,0.5904290534053486,0.9754907778326516,0.0531914893617021,0.6756505966186523,0.4858901400000001,0.052934047,0.8723404255319149,0.574468085106383,2.5,3.6818181818181817,27.0,12.0,25.0,11.0,C2,C2,C2
at_least_M-of-N,no_discretization,glass,0.17777777777777778,0.7063492063492062,0.9245680044593088,0.7142857142857143,0.9481865284974094,45,106.0,0.5555555555555556,1.6222222222222222,2.3555555555555556,0.615998387970349,0.9937244572158364,0.0556131260794473,0.3424391746520996,0.2714393,0.0301936729999999,0.9555555555555556,0.7777777777777778,2.502590673575129,2.857142857142857,13.0,5.0,5.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,glass,0.1568627450980392,0.4107142857142857,0.9353758169934642,0.6363636363636364,0.96875,51,114.0,0.5294117647058824,1.5490196078431373,2.235294117647059,0.6108445953230393,0.995904191716212,0.0508578431372548,0.6292266845703125,0.6441711330000001,0.05900159,0.9411764705882352,0.6078431372549019,2.59375,2.590909090909091,6.0,11.0,3.0,7.0,C2,C2,C2
at_least_M-of-N,no_discretization,glass,0.16666666666666666,0.5714285714285714,0.9888888888888888,0.6666666666666666,0.9948186528497408,48,115.0,0.6875,1.5416666666666667,2.3958333333333335,0.6231864420220513,0.9957513070310184,0.0537564766839378,0.5993149280548096,0.358262219,0.034881473,0.9791666666666666,0.9375,2.5803108808290154,2.619047619047619,3.0,10.0,2.0,9.0,C2,C2,C2
at_least_M-of-N,no_discretization,glass,0.11764705882352941,0.4107142857142857,0.9430147058823528,0.6666666666666666,0.9689119170984456,51,117.0,0.6078431372549019,1.5686274509803921,2.2941176470588234,0.6094676324990054,0.9936954313889298,0.0483592400690846,0.5050384998321533,0.3519101499999999,0.047713026,0.9803921568627452,0.7843137254901961,2.466321243523316,2.8095238095238093,5.0,4.0,0.0,2.0,C2,C2,C2
