model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,cloud,0.0,0.3758701131722459,0.2870330175757181,36159746693117.64,1.0533580692034197,0.8043963448954389,361597466931.1764,0.8533333333333333,-0.7207166388645581,0.1689073616145743,0.0908536541653819,4100589831179.178,0.8069617834483849,0.4340570244972276,41005898311.79179,0.9033333333333332,0.1730876186802137,10,0.3,2.4,27.0,2.7,0.7522878892193072,0.9306148874273652,0.3845360824742268,1.5232720375061035,0.3738270649999999,0.0964996179999999,0.9,0.9,C2,C2,C2
at_least_M-of-N,no_discretization,cloud,0.0,0.2571150372573803,0.1344322775510597,36699811505003.055,1.1694021515499775,0.6114204609845727,366998115050.0305,0.818746052028251,-0.0099345506364609,0.1467671353152807,0.0763626561934337,4235135446131.583,0.7114056196676389,0.370142965808099,42351354461.31583,0.818746052028251,0.2982607074631079,6,0.6666666666666666,2.1666666666666665,17.0,2.8333333333333335,0.7303433006503145,0.9140110147227736,0.3642611683848797,5.806833505630493,0.583066101,0.199255805,0.6666666666666666,0.6666666666666666,C2,C2,C2
at_least_M-of-N,no_discretization,cloud,0.2857142857142857,0.35677135377228,0.2169181578456605,98558880234953.12,1.6053407883398427,0.976052485266084,985588802349.5312,0.8803775928945237,-0.1249686750759864,0.1568280681884071,0.0951913281148238,5217219812064.35,0.6572654385199443,0.3989462520288221,52172198120.64349,0.7295798385300645,0.2903862786886094,7,0.7142857142857143,1.4285714285714286,17.0,2.4285714285714284,0.6293215332694342,0.9070424925633944,0.3578792341678939,3.568547248840332,0.338215803,0.0752957009999999,0.7142857142857143,0.5714285714285714,C2,C2,C2
at_least_M-of-N,no_discretization,cloud,0.0,0.3778807555492812,0.3010455696538801,28311770796771.93,0.7958735373826479,0.6340471138455772,283117707967.7193,0.7153015404228807,-0.4690219084453007,0.1494135361397358,0.0797417844060097,2888956203752.981,0.7340289103808432,0.3917501494953301,28889562037.529816,0.8399491066620326,0.3372924768981439,8,1.625,0.625,18.0,2.25,0.4846162204573798,0.8430694839700903,0.264030612244898,1.0785470008850098,0.29615074,0.071037792,0.375,0.375,C2,C2,C2
at_least_M-of-N,no_discretization,cloud,0.0,0.4165105523230869,0.2921052104587854,42697008406331.805,0.9786363892857184,0.6863326435801452,426970084063.31805,0.73,-0.2473860589174055,0.1328847991456349,0.0758679815979385,4337036027903.1406,0.6486534689487508,0.3703360336324769,43370360279.0314,0.7244209964981436,0.4636119505625876,10,1.7,0.9,26.0,2.6,0.5786142831918929,0.902218929529854,0.2762886597938144,5.041697978973389,0.724309624,0.2495485089999999,0.6,0.6,C2,C2,C2
at_least_M-of-N,no_discretization,cloud,0.0,0.368298046093426,0.2892887085009599,51859632072753.0,0.9683977133026708,0.7606516699400241,518596320727.53,0.7232285695381542,-0.2516924093370223,0.1629979658744173,0.0914363146096662,5880989204127.7295,0.7767527727741823,0.4357318848999077,58809892041.2773,0.8466666666666667,0.2125616241488415,4,0.75,1.0,7.0,1.75,0.6349260155304689,0.8771181896181895,0.2912371134020618,1.72629714012146,0.215226313,0.033439429,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,cloud,0.14285714285714285,0.345271197044866,0.2345969948567689,52725354952262.51,0.9425448709958312,0.6404188827385736,527253549522.62506,0.7283333333333333,0.0691429239457028,0.1492385008176757,0.077578578750475,4650836998882.534,0.7297664886228138,0.3793541659618255,46508369988.82534,0.7996451627893941,0.279431668531323,7,1.0,1.1428571428571428,16.0,2.2857142857142856,0.5582424790649377,0.8744642098949312,0.337260677466863,2.54257869720459,0.299881467,0.03589446,0.4285714285714285,0.4285714285714285,C2,C2,C2
at_least_M-of-N,no_discretization,cloud,0.0,0.4541060984790524,0.3654282201042895,25152708203165.098,0.8629524529236478,0.6944350229224371,251527082031.65097,0.8243589743589744,-0.70404000011922,0.1595690293996069,0.0821761899439225,3559546097235.457,0.7530747251911387,0.3878247044061219,35595460972.35457,0.7516666666666666,0.2558499683883879,6,1.6666666666666667,1.5,19.0,3.1666666666666665,0.5926295668197495,0.8917671287924454,0.3436426116838487,13.369359254837036,0.6982838090000001,0.344375174,0.5,0.5,C2,C2,C2
at_least_M-of-N,no_discretization,cloud,0.2222222222222222,0.2908630366049389,0.2217384581056593,39322662601310.47,0.7929523204353435,0.6045045356638215,393226626013.1047,0.6605881851124237,0.0249629619259601,0.1410454214467617,0.0760384699404196,4459271016644.284,0.7052876989605238,0.3802250150814009,44592710166.44284,0.7932824991312206,0.3555022459253557,9,0.8888888888888888,0.7777777777777778,17.0,1.8888888888888888,0.674557833177197,0.9159131244889234,0.279495990836197,0.4239914417266845,0.19091173,0.035318323,0.6666666666666666,0.5555555555555556,C2,C2,C2
at_least_M-of-N,no_discretization,cloud,0.0,0.4266280165663648,0.3902781862313961,41046855748148.72,0.8011487944681355,0.7328888077322401,410468557481.4872,0.7283333333333333,-1.737636274507384,0.1639436902177761,0.0880532009269916,4279905121579.198,0.80453087838468,0.4321088478139802,42799051215.79199,0.7716666666666667,0.2099697785891953,8,1.0,2.125,25.0,3.125,0.7461258154791478,0.938621621241627,0.4107142857142857,3.6056649684906006,0.386018742,0.0972477689999999,0.875,0.875,C2,C2,C2
